eid,First Name,Last Name,Gender,Department,Salary,E Mail,Date of Birth,Weight in Kgs.,Height in inches,Rating,Phone No. ,City,State,Zip
560455,Carolyn,Hayes,F,Accounting,"$35,940 ",carolyn.hayes@hotmail.co.uk,03-10-1958,53,,Good,239-882-8784,Saint Cloud,FL,34771
477253,Anne,Russell,F,Services,"$109,040 ",anne.russell@ibm.com,7/29/1989,60,,Average,605-635-1306,Stockholm,SD,57264
263480,Daniel,Cooper,M,Services,"$109,160 ",daniel.cooper@yahoo.com,01-01-1990,60,,Good,701-510-8162,Manning,ND,58642
683826,Roger,Roberts,M,Human Resources,"$75,540 ",roger.roberts@gmail.com,07-07-1969,77,,Average,206-497-3141,Mount Vernon,WA,98273
474599,Maria,Walker,F,Engineering,"$30,000 ",maria.walker@microsoft.com,3/19/1975,41,,Average,423-668-5506,Lawrenceburg,TN,38464
335732,Brenda,Butler,F,Sales,"$76,210 ",brenda.butler@gmail.com,12-06-1963,41,,Good,480-814-8284,Mesa,AZ,85208
329752,Lillian,Brown,F,NULL,"$112,650 ",lillian.brown@aol.com,05-12-1981,49,,Average,239-812-9041,Panacea,FL,32346
893212,Amy,Howard,F,Legal,"$108,460 ",amy.howard@aol.com,6/16/1981,52,,Good,803-613-3168,Kline,SC,29814
621833,Gregory,Edwards,M,Research and Development,"$69,070 ",gregory.edwards@outlook.com,8/31/1993,64,,Poor,503-256-9654,Bonanza,OR,97623
456747,Roy,Griffin,M,Business Development,"$116,520 ",roy.griffin@yahoo.com,05-08-1991,62,,Good,219-506-9378,Liberty,IN,47353
278556,Richard,Mitchell,M,Research and Development,"$96,560 ",richard.mitchell@verizon.net,7/28/1993,81,,Not Rated,205-621-5884,Ohatchee,AL,36271
333476,Mary,Wilson,F,Human Resources,"$36,460 ",mary.wilson@sbcglobal.net,12-01-1967,54,,Good,423-937-8660,Nashville,TN,37219
218791,Aaron,Price,M,Training,"$50,950 ",aaron.price@bp.com,02-10-1969,56,,Good,219-287-8926,Eckerty,IN,47116
134841,Donna,Brown,F,Marketing,"$75,440 ",donna.brown@aol.com,9/14/1983,57,,Average,212-434-7910,Lima,NY,14485
726264,Carl,Collins,M,Sales,"$84,760 ",carl.collins@yahoo.com,12/22/1973,90,,Average,479-740-7633,Wright,AR,72182
766610,Joyce,Jenkins,F,Engineering,"$82,240 ",joyce.jenkins@aol.com,8/22/1961,44,,Poor,262-455-4187,Ellsworth,WI,54011
923947,Mary,Bryant,F,Human Resources,"$28,330 ",mary.bryant@verizon.net,6/21/1962,45,,Very Poor,319-827-3516,Conroy,IA,52220
227922,Amanda,Hughes,F,Human Resources,"$60,580 ",amanda.hughes@rediffmail.com,7/29/1982,40,,Very Good,225-544-9700,Lake Charles,LA,70605
265813,Jack,Campbell,M,Support,"$45,510 ",jack.campbell@gmail.com,01-04-1985,50,,Very Good,316-499-5737,Kalvesta,KS,67856
247137,Alan,Rivera,M,Human Resources,"$110,770 ",alan.rivera@apple.com,12-11-1978,80,,Good,423-277-6819,Knoxville,TN,37901
407061,Elizabeth,Jackson,F,Product Management,"$86,920 ",elizabeth.jackson@aol.com,8/15/1964,56,,Average,603-568-6118,Rochester,NH,3867
226714,Nancy,Davis,F,Training,"$84,680 ",nancy.davis@ibm.com,11/14/1983,52,,Good,219-610-3067,Bowling Green,IN,47833
702813,Ernest,Martinez,M,Research and Development,"$36,860 ",ernest.martinez@gmail.com,11-09-1989,53,,Poor,479-951-4138,Uniontown,AR,72955
524896,Judy,Hernandez,F,Sales,"$114,010 ",judy.hernandez@gmail.com,3/25/1961,40,,Average,316-736-6126,Topeka,KS,66606
363065,Nancy,Jones,F,Services,"$54,130 ",nancy.jones@gmail.com,11-10-1993,60,,Very Poor,212-825-1930,New York City,NY,10087
879753,Pamela,Wright,F,Product Management,"$81,720 ",pamela.wright@aol.com,4/14/1996,47,,Very Good,307-329-8832,Banner,WY,82832
958326,Larry,Miller,M,Human Resources,"$84,470 ",larry.miller@shell.com,10/31/1988,75,,Average,217-574-9283,East Saint Louis,IL,62201
447813,Ann,Coleman,F,Marketing,"$114,600 ",ann.coleman@ibm.com,05-11-1989,41,,Good,319-994-4179,Hancock,IA,51536
525955,Judy,Gonzales,F,Training,"$114,690 ",judy.gonzales@gmail.com,6/17/1959,51,,Very Poor,201-640-8645,Eatontown,NJ,7724
818384,Peter,Washington,M,Engineering,"$57,350 ",peter.washington@bp.com,11-06-1982,70,,Good,231-322-0316,Portage,MI,49024
971640,Clarence,Ross,M,Accounting,"$51,200 ",clarence.ross@apple.com,12/13/1960,64,,Poor,423-772-0118,Oneida,TN,37841
253573,Sharon,Lopez,F,Human Resources,"$85,260 ",sharon.lopez@gmail.com,05-04-1991,43,,Poor,304-934-5548,Bartley,WV,24813
904898,Ann,Cooper,F,Services,"$71,230 ",ann.cooper@exxonmobil.com,12/25/1992,44,,Very Poor,406-278-6460,Arlee,MT,59821
515103,Anne,Perez,F,Product Management,"$107,660 ",anne.perez@sbcglobal.net,05-05-1958,48,,Good,423-837-3338,Cookeville,TN,38505
491943,Nancy,Howard,F,Engineering,"$75,230 ",nancy.howard@gmail.com,05-05-1961,45,,Poor,236-973-8086,Saxe,VA,23967
750173,Antonio,Roberts,M,Marketing,"$108,080 ",antonio.roberts@hotmail.com,8/27/1995,82,,Average,205-267-7304,Mc Calla,AL,35111
687017,Frances,Watson,F,Legal,"$28,480 ",frances.watson@outlook.com,1/30/1961,42,,Good,406-530-8069,Trego,MT,59934
241882,Debra,Wood,F,Support,"$56,620 ",debra.wood@hotmail.com,10/30/1969,54,,Average,308-646-6219,Blair,NE,68009
758872,Henry,Jenkins,M,NULL,"$87,900 ",henry.jenkins@hotmail.com,11-06-1984,70,,Average,314-731-7135,Riverside,MO,64150
940922,Melissa,Butler,F,Sales,"$103,550 ",melissa.butler@hotmail.com,11/14/1994,55,,Average,308-827-9016,Maxwell,NE,69151
917937,Todd,Hall,M,Business Development,"$78,500 ",todd.hall@yahoo.com,8/31/1991,74,,Very Good,240-513-8668,Randallstown,MD,21133
917395,Christopher,Nelson,M,Legal,"$93,930 ",christopher.nelson@aol.com,3/29/1960,62,,Good,480-946-9780,Willow Beach,AZ,86445
183071,Andrea,Garcia,F,NULL,"$114,770 ",andrea.garcia@aol.com,07-06-1985,52,,Average,219-624-3708,Granger,IN,46530
316110,Jeremy,Sanchez,M,NULL,"$73,530 ",jeremy.sanchez@hotmail.com,02-05-1965,52,,Average,423-974-2755,Alcoa,TN,37701
293459,Steven,Phillips,M,Training,"$55,310 ",steven.phillips@hotmail.com,09-12-1986,58,,Very Poor,225-968-5952,Baton Rouge,LA,70833
732017,Cynthia,Ramirez,F,Research and Development,"$49,670 ",cynthia.ramirez@btinternet.com,9/22/1982,47,,Poor,406-961-7340,Browning,MT,59417
915638,Jason,Anderson,M,Support,,jason.anderson@gmail.com,01-03-1974,57,,Good,217-856-6752,Hudson,IL,61748
478003,Cynthia,White,F,Product Management,"$40,770 ",cynthia.white@gmail.com,6/15/1963,60,,Average,314-593-3092,Kansas City,MO,64133
951225,Margaret,Brooks,F,Product Management,"$106,780 ",margaret.brooks@gmail.com,6/27/1992,56,,Poor,303-960-0117,Haswell,CO,81045
883936,Douglas,Flores,M,Human Resources,"$100,730 ",douglas.flores@gmail.com,4/21/1986,61,,Average,303-836-4721,Eckert,CO,81418
528673,Paul,Watson,M,Services,"$74,620 ",paul.watson@hotmail.com,03-09-1959,60,,Poor,270-556-7711,Blue River,KY,41607
765850,Linda,Moore,F,Product Management,"$40,450 ",linda.moore@gmail.com,8/18/1991,40,,Average,215-793-7095,Albion,PA,16401
262382,Cheryl,Miller,F,Services,"$60,560 ",cheryl.miller@ntlworld.com,4/20/1985,48,,Average,270-880-3858,Bays,KY,41310
870820,Martha,Washington,F,Legal,"$114,900 ",martha.washington@aol.com,3/28/1991,54,,Average,405-945-0242,Nardin,OK,74646
806955,William,Hernandez,M,Human Resources,"$69,860 ",william.hernandez@rediffmail.com,7/22/1967,50,,Average,239-276-0532,Mary Esther,FL,32569
325319,Carolyn,Price,F,Services,"$51,320 ",carolyn.price@yahoo.com,5/30/1976,60,,Very Poor,217-409-4338,Wheaton,IL,60189
623253,Ruby,Stewart,F,Training,"$103,600 ",ruby.stewart@gmail.com,10/23/1968,48,,Good,218-445-2369,Margie,MN,56658
225925,Paul,Cooper,M,Marketing,"$53,540 ",paul.cooper@gmail.com,08-12-1991,68,,Poor,210-984-4722,Glidden,TX,78943
761821,Ernest,Washington,M,Sales,"$98,740 ",ernest.washington@msn.com,10/28/1984,87,,Poor,212-596-1659,Saranac Lake,NY,12983
400173,Dorothy,Edwards,F,Support,"$115,090 ",dorothy.edwards@hotmail.co.uk,1/19/1984,57,,Average,215-902-6888,Philadelphia,PA,19132
802554,Ryan,Alexander,M,Marketing,"$51,910 ",ryan.alexander@shell.com,08-01-1993,65,,Good,225-395-3347,Jarreau,LA,70749
476433,Lillian,Mitchell,F,Accounting,"$34,080 ",lillian.mitchell@shaw.ca,10/23/1974,55,,Not Rated,316-876-1484,Wichita,KS,67214
533952,Kelly,Adams,F,Services,"$88,690 ",kelly.adams@bp.com,5/23/1975,53,,Poor,405-418-0037,Meno,OK,73760
623929,Jimmy,Howard,M,Human Resources,"$35,940 ",jimmy.howard@yahoo.com,11/27/1966,87,,Average,212-855-9316,Oriskany,NY,13424
844177,Margaret,Allen,F,Legal,"$109,190 ",margaret.allen@gmail.com,09-08-1981,43,,Average,216-697-6987,Richmond Dale,OH,45673
212893,Janet,Henderson,F,Marketing,"$89,610 ",janet.henderson@ntlworld.com,12/24/1979,60,,Good,239-769-6347,Miami,FL,33166
185032,Eugene,Perez,M,Support,"$109,760 ",eugene.perez@exxonmobil.com,10-06-1979,59,,Good,262-472-7112,Racine,WI,53490
867084,Deborah,Smith,F,Marketing,"$108,390 ",deborah.smith@yahoo.com,10/31/1977,54,,Poor,907-279-8694,Atqasuk,AK,99791
969964,Janice,Parker,F,Research and Development,"$29,880 ",janice.parker@yahoo.com,01-12-1980,56,,Very Poor,314-842-5984,Whiteman Air Force Base,MO,65305
158666,Rebecca,Stewart,F,Support,"$68,090 ",rebecca.stewart@gmail.com,08-11-1961,55,,Average,209-233-7631,Independence,CA,93526
489424,Phillip,White,M,Services,"$87,210 ",phillip.white@gmail.com,03-04-1978,82,,Not Rated,503-668-6592,Mapleton,OR,97453
639892,Jose,Hill,M,Engineering,"$90,800 ",jose.hill@hotmail.com,10-08-1994,89,,Average,228-245-5000,Biloxi,MS,39532
704709,Harold,Nelson,M,Training,"$102,930 ",harold.nelson@gmail.com,12/24/1984,77,,Good,217-555-9216,Carol Stream,IL,60351
461593,Nicole,Ward,F,Engineering,,nicole.ward@yahoo.com,12-12-1964,60,,Average,231-761-7861,Detroit,MI,48278
392491,Theresa,Murphy,F,Product Management,"$29,080 ",theresa.murphy@gmail.com,12/30/1987,57,,Average,907-356-1555,Mc Grath,AK,99627
495141,Tammy,Young,F,Research and Development,"$44,450 ",tammy.young@comcast.net,3/22/1979,55,,Very Good,231-290-3075,Alma,MI,48801
,,,,Services,"$97,120 ",,,,,Average,,,,
,,,,Support,"$58,840 ",,,,,Average,,,,
,,,,Business Development,"$77,060 ",,,,,Good,,,,
,,,,NULL,"$81,180 ",,,,,Average,,,,
,,,,Support,"$90,080 ",,,,,Average,,,,
,,,,Product Management,,,,,,Average,,,,
,,,,Product Management,"$35,830 ",,,,,Average,,,,
,,,,Legal,"$37,110 ",,,,,Average,,,,
,,,,Training,"$112,780 ",,,,,Poor,,,,
,,,,Engineering,"$96,000 ",,,,,Average,,,,
,,,,Product Management,"$112,550 ",,,,,Average,,,,
,,,,Training,"$88,330 ",,,,,Poor,,,,
,,,,Training,"$116,770 ",,,,,Good,,,,
,,,,Marketing,"$40,270 ",,,,,Average,,,,
,,,,Business Development,,,,,,Average,,,,
,,,,Business Development,"$96,640 ",,,,,Very Good,,,,
,,,,Business Development,"$118,100 ",,,,,Average,,,,
,,,,Engineering,"$43,600 ",,,,,Average,,,,
,,,,Legal,"$54,520 ",,,,,Poor,,,,
,,,,Research and Development,"$57,750 ",,,,,Average,,,,
,,,,Training,"$99,970 ",,,,,Average,,,,
,,,,Sales,"$62,200 ",,,,,Very Good,,,,
,,,,Human Resources,"$42,990 ",,,,,Average,,,,
,,,,Support,"$117,810 ",,,,,Average,,,,
,,,,Services,"$58,130 ",,,,,Average,,,,
,,,,Services,"$86,840 ",,,,,Average,,,,
,,,,Accounting,,,,,,Average,,,,
,,,,Product Management,"$41,700 ",,,,,Good,,,,
,,,,Legal,,,,,,Average,,,,
,,,,Human Resources,"$72,880 ",,,,,Average,,,,
,,,,Research and Development,"$49,670 ",,,,,Good,,,,
,,,,Accounting,"$117,150 ",,,,,Average,,,,
,,,,Human Resources,"$97,020 ",,,,,Poor,,,,
,,,,Training,"$67,510 ",,,,,Not Rated,,,,
,,,,Human Resources,"$34,830 ",,,,,Average,,,,
,,,,Legal,"$38,730 ",,,,,Average,,,,
,,,,Services,"$96,790 ",,,,,Good,,,,
,,,,Engineering,"$68,040 ",,,,,Good,,,,
,,,,Business Development,"$88,510 ",,,,,Average,,,,
,,,,Human Resources,"$65,350 ",,,,,Very Poor,,,,
,,,,Product Management,"$52,000 ",,,,,Not Rated,,,,
,,,,Human Resources,"$85,740 ",,,,,Average,,,,
,,,,Research and Development,"$92,500 ",,,,,Good,,,,
,,,,Sales,"$80,770 ",,,,,Very Good,,,,
,,,,Product Management,"$67,820 ",,,,,Not Rated,,,,
,,,,Human Resources,"$41,160 ",,,,,Good,,,,
,,,,Engineering,"$48,060 ",,,,,Poor,,,,
,,,,Training,"$56,830 ",,,,,Very Good,,,,
,,,,Product Management,"$72,500 ",,,,,Very Poor,,,,
,,,,Services,"$57,080 ",,,,,Average,,,,
,,,,Product Management,"$104,080 ",,,,,Very Poor,,,,
,,,,Marketing,,,,,,Not Rated,,,,
,,,,Legal,"$29,770 ",,,,,Good,,,,
,,,,Legal,"$48,690 ",,,,,Average,,,,
,,,,Research and Development,"$70,080 ",,,,,Very Poor,,,,
,,,,Business Development,"$88,510 ",,,,,Poor,,,,
,,,,Business Development,"$69,190 ",,,,,Average,,,,
,,,,Services,"$37,920 ",,,,,Average,,,,
,,,,Accounting,"$89,120 ",,,,,Good,,,,
,,,,Legal,"$48,140 ",,,,,Very Good,,,,
,,,,Support,"$69,340 ",,,,,Average,,,,
,,,,Human Resources,"$71,330 ",,,,,Very Good,,,,
,,,,Marketing,"$67,620 ",,,,,Good,,,,
,,,,Product Management,"$69,740 ",,,,,Not Rated,,,,
,,,,Engineering,"$44,300 ",,,,,Good,,,,
,,,,Business Development,"$40,560 ",,,,,Poor,,,,
,,,,Sales,"$115,230 ",,,,,Good,,,,
,,,,Training,"$39,750 ",,,,,Average,,,,
,,,,Human Resources,"$72,880 ",,,,,Average,,,,
,,,,Research and Development,"$108,970 ",,,,,Average,,,,
,,,,Engineering,"$112,570 ",,,,,Poor,,,,
,,,,Accounting,"$56,810 ",,,,,Poor,,,,
,,,,Business Development,"$42,950 ",,,,,Poor,,,,
,,,,Services,"$42,820 ",,,,,Average,,,,
,,,,Sales,"$57,080 ",,,,,Average,,,,
,,,,Marketing,"$101,670 ",,,,,Average,,,,
,,,,Marketing,"$104,750 ",,,,,Average,,,,
,,,,Engineering,"$43,330 ",,,,,Very Good,,,,
,,,,Accounting,"$61,430 ",,,,,Poor,,,,
,,,,Product Management,"$105,800 ",,,,,Very Good,,,,
,,,,Training,"$99,470 ",,,,,Good,,,,
,,,,Accounting,"$68,890 ",,,,,Good,,,,
,,,,NULL,"$58,860 ",,,,,Average,,,,
,,,,Engineering,"$86,940 ",,,,,Average,,,,
,,,,Support,"$118,120 ",,,,,Average,,,,
,,,,Marketing,"$91,120 ",,,,,Poor,,,,
,,,,Research and Development,"$41,420 ",,,,,Good,,,,
,,,,Training,"$86,010 ",,,,,Average,,,,
,,,,Support,"$30,080 ",,,,,Average,,,,
,,,,Accounting,"$96,800 ",,,,,Average,,,,
,,,,Legal,"$31,090 ",,,,,Average,,,,
,,,,Training,"$96,140 ",,,,,Good,,,,
,,,,Research and Development,"$98,640 ",,,,,Good,,,,
,,,,Sales,"$71,510 ",,,,,Good,,,,
,,,,Legal,"$86,490 ",,,,,Poor,,,,
,,,,Engineering,"$103,240 ",,,,,Good,,,,
,,,,Sales,"$47,550 ",,,,,Average,,,,
,,,,Sales,"$78,490 ",,,,,Average,,,,
,,,,Engineering,"$61,050 ",,,,,Average,,,,
,,,,Product Management,"$36,370 ",,,,,Good,,,,
,,,,Business Development,"$47,290 ",,,,,Average,,,,
,,,,Sales,"$79,650 ",,,,,Good,,,,
,,,,Product Management,"$119,660 ",,,,,Average,,,,
,,,,Support,"$43,200 ",,,,,Average,,,,
,,,,Product Management,"$89,830 ",,,,,Very Good,,,,
,,,,Accounting,"$91,500 ",,,,,Poor,,,,
,,,,Services,"$29,670 ",,,,,Very Good,,,,
,,,,Support,"$75,720 ",,,,,Very Poor,,,,
,,,,NULL,"$34,830 ",,,,,Poor,,,,
,,,,Services,"$81,900 ",,,,,Average,,,,
,,,,Human Resources,"$42,380 ",,,,,Good,,,,
,,,,Marketing,"$32,620 ",,,,,Good,,,,
,,,,Marketing,"$72,040 ",,,,,Average,,,,
,,,,Product Management,"$77,740 ",,,,,Good,,,,
,,,,Business Development,"$102,140 ",,,,,Average,,,,
,,,,Legal,"$48,630 ",,,,,Not Rated,,,,
,,,,Legal,"$105,960 ",,,,,Poor,,,,
,,,,Research and Development,"$97,400 ",,,,,Good,,,,
,,,,Human Resources,"$99,450 ",,,,,Average,,,,
,,,,Accounting,"$82,670 ",,,,,Average,,,,
,,,,Marketing,"$99,200 ",,,,,Very Good,,,,
,,,,Legal,"$111,480 ",,,,,Poor,,,,
,,,,Research and Development,"$84,940 ",,,,,Poor,,,,
,,,,Support,"$95,340 ",,,,,Poor,,,,
,,,,Product Management,"$47,960 ",,,,,Poor,,,,
,,,,Research and Development,"$56,710 ",,,,,Average,,,,
,,,,Human Resources,"$71,180 ",,,,,Good,,,,
,,,,Training,,,,,,Average,,,,
,,,,Research and Development,"$78,180 ",,,,,Very Good,,,,
,,,,Training,"$84,750 ",,,,,Average,,,,
,,,,Legal,"$98,970 ",,,,,Not Rated,,,,
,,,,Product Management,"$76,560 ",,,,,Good,,,,
,,,,Support,,,,,,Average,,,,
,,,,Sales,"$35,930 ",,,,,Average,,,,
,,,,Sales,"$104,410 ",,,,,Average,,,,
,,,,Sales,"$84,600 ",,,,,Very Poor,,,,
,,,,Product Management,"$68,800 ",,,,,Poor,,,,
,,,,NULL,"$38,660 ",,,,,Good,,,,
,,,,Human Resources,"$86,560 ",,,,,Average,,,,
,,,,Support,"$107,340 ",,,,,Average,,,,
,,,,Legal,"$111,050 ",,,,,Very Good,,,,
,,,,Human Resources,,,,,,Average,,,,
,,,,Training,"$75,320 ",,,,,Very Poor,,,,
,,,,Legal,"$57,910 ",,,,,Average,,,,
,,,,Legal,"$29,490 ",,,,,Not Rated,,,,
,,,,Human Resources,"$52,670 ",,,,,Average,,,,
,,,,Accounting,"$48,530 ",,,,,Average,,,,
,,,,Research and Development,"$105,470 ",,,,,Average,,,,
,,,,Training,"$98,200 ",,,,,Poor,,,,
,,,,Human Resources,"$106,190 ",,,,,Very Good,,,,
,,,,Sales,"$52,610 ",,,,,Poor,,,,
,,,,Legal,"$63,450 ",,,,,Good,,,,
,,,,Accounting,"$74,710 ",,,,,Good,,,,
,,,,Sales,"$60,330 ",,,,,Average,,,,
,,,,Sales,"$61,010 ",,,,,Average,,,,
,,,,Accounting,"$76,300 ",,,,,Not Rated,,,,
,,,,Marketing,"$117,020 ",,,,,Average,,,,
,,,,Marketing,"$77,130 ",,,,,Very Poor,,,,
,,,,Human Resources,"$106,930 ",,,,,Average,,,,
,,,,Engineering,"$62,090 ",,,,,Very Good,,,,
,,,,Marketing,"$61,330 ",,,,,Average,,,,
,,,,Training,"$41,600 ",,,,,Not Rated,,,,
,,,,Marketing,"$105,870 ",,,,,Very Poor,,,,
,,,,Human Resources,"$118,300 ",,,,,Average,,,,
,,,,Research and Development,"$99,680 ",,,,,Good,,,,
,,,,Sales,"$101,500 ",,,,,Good,,,,
,,,,Human Resources,"$46,160 ",,,,,Average,,,,
,,,,Sales,"$41,930 ",,,,,Average,,,,
,,,,Business Development,"$73,360 ",,,,,Average,,,,
,,,,Services,"$119,550 ",,,,,Good,,,,
,,,,Human Resources,"$53,240 ",,,,,Good,,,,
,,,,Business Development,"$90,880 ",,,,,Average,,,,
,,,,Research and Development,"$44,450 ",,,,,Very Poor,,,,
,,,,Support,"$47,670 ",,,,,Average,,,,
,,,,NULL,"$111,420 ",,,,,Not Rated,,,,
,,,,Training,"$47,760 ",,,,,Average,,,,
,,,,Product Management,"$47,650 ",,,,,Good,,,,
,,,,Services,"$103,360 ",,,,,Very Good,,,,
,,,,Human Resources,"$48,530 ",,,,,Poor,,,,
,,,,Marketing,"$72,160 ",,,,,Average,,,,
,,,,Business Development,"$60,800 ",,,,,Average,,,,
,,,,Services,"$74,010 ",,,,,Average,,,,
,,,,Services,"$60,760 ",,,,,Very Good,,,,
,,,,Engineering,"$74,550 ",,,,,Average,,,,
,,,,Engineering,"$32,500 ",,,,,Poor,,,,
,,,,Business Development,"$110,040 ",,,,,Good,,,,
,,,,Legal,"$99,750 ",,,,,Average,,,,
,,,,Human Resources,"$92,470 ",,,,,Average,,,,
,,,,Engineering,"$109,980 ",,,,,Average,,,,
,,,,Legal,"$41,790 ",,,,,Average,,,,
,,,,Support,"$86,360 ",,,,,Very Poor,,,,
,,,,Human Resources,"$65,570 ",,,,,Very Good,,,,
,,,,Accounting,"$69,160 ",,,,,Very Good,,,,
,,,,Product Management,"$41,570 ",,,,,Good,,,,
,,,,Sales,"$83,400 ",,,,,Poor,,,,
,,,,Business Development,"$67,660 ",,,,,Very Poor,,,,
,,,,Product Management,"$34,470 ",,,,,Good,,,,
,,,,Sales,"$38,240 ",,,,,Not Rated,,,,
,,,,Engineering,"$78,380 ",,,,,Very Poor,,,,
,,,,Business Development,"$72,500 ",,,,,Average,,,,
,,,,Engineering,"$115,640 ",,,,,Average,,,,
,,,,NULL,"$46,250 ",,,,,Average,,,,
,,,,Product Management,"$82,120 ",,,,,Average,,,,
,,,,Services,"$108,160 ",,,,,Good,,,,
,,,,Sales,"$108,360 ",,,,,Average,,,,
,,,,Human Resources,"$77,840 ",,,,,Poor,,,,
,,,,Services,"$85,180 ",,,,,Poor,,,,
,,,,Business Development,"$85,920 ",,,,,Poor,,,,
,,,,Human Resources,"$106,490 ",,,,,Average,,,,
,,,,Legal,"$38,520 ",,,,,Poor,,,,
,,,,Training,"$49,530 ",,,,,Average,,,,
,,,,Product Management,"$29,610 ",,,,,Average,,,,
,,,,Training,"$84,170 ",,,,,Good,,,,
,,,,Support,"$92,190 ",,,,,Average,,,,
,,,,NULL,"$82,240 ",,,,,Average,,,,
,,,,Human Resources,"$87,850 ",,,,,Good,,,,
,,,,Business Development,"$43,700 ",,,,,Average,,,,
,,,,Services,"$88,690 ",,,,,Not Rated,,,,
,,,,Marketing,"$31,820 ",,,,,Average,,,,
,,,,Marketing,"$70,230 ",,,,,Average,,,,
,,,,Legal,"$96,320 ",,,,,Average,,,,
,,,,Legal,"$90,700 ",,,,,Very Poor,,,,
,,,,Services,"$67,960 ",,,,,Average,,,,
,,,,Services,"$103,110 ",,,,,Good,,,,
,,,,Engineering,"$59,610 ",,,,,Good,,,,
,,,,Legal,"$66,570 ",,,,,Poor,,,,
,,,,Accounting,"$74,390 ",,,,,Average,,,,
,,,,Engineering,"$67,010 ",,,,,Good,,,,
,,,,Research and Development,"$109,710 ",,,,,Average,,,,
,,,,Product Management,"$110,910 ",,,,,Average,,,,
,,,,Legal,"$29,770 ",,,,,Very Good,,,,
,,,,Support,"$80,060 ",,,,,Very Good,,,,
,,,,Training,"$99,750 ",,,,,Average,,,,
,,,,Sales,"$108,250 ",,,,,Average,,,,
,,,,Product Management,"$104,340 ",,,,,Average,,,,
,,,,Product Management,"$38,440 ",,,,,Average,,,,
,,,,Support,"$50,800 ",,,,,Very Good,,,,
